"month","division","line","day_type","reporting_category","delays"
"2024-01-01","A DIVISION","1","1","Police & Medical","711"
"2024-01-01","A DIVISION","1","1","External Factors","10"
"2024-01-01","A DIVISION","1","1","Operating Conditions","337"
"2024-01-01","A DIVISION","1","1","Planned ROW Work","444"
"2024-01-01","A DIVISION","1","1","Crew Availability","94"
"2024-01-01","A DIVISION","1","1","Infrastructure & Equipment","1,037"
"2024-01-01","A DIVISION","1","2","Crew Availability","36"
"2024-01-01","A DIVISION","1","2","Police & Medical","50"
"2024-01-01","A DIVISION","1","2","Planned ROW Work","77"
"2024-01-01","A DIVISION","1","2","Operating Conditions","11"
"2024-01-01","A DIVISION","1","2","Infrastructure & Equipment","180"
"2024-01-01","A DIVISION","2","1","Crew Availability","52"
"2024-01-01","A DIVISION","2","1","Planned ROW Work","379"
"2024-01-01","A DIVISION","2","1","Police & Medical","604"
"2024-01-01","A DIVISION","2","1","Infrastructure & Equipment","728"
"2024-01-01","A DIVISION","2","1","Operating Conditions","289"
"2024-01-01","A DIVISION","2","1","External Factors","34"
"2024-01-01","A DIVISION","2","2","Infrastructure & Equipment","165"
"2024-01-01","A DIVISION","2","2","External Factors","12"
"2024-01-01","A DIVISION","2","2","Crew Availability","30"
"2024-01-01","A DIVISION","2","2","Operating Conditions","203"
"2024-01-01","A DIVISION","2","2","Police & Medical","94"
"2024-01-01","A DIVISION","2","2","Planned ROW Work","209"
"2024-01-01","A DIVISION","3","1","Operating Conditions","143"
"2024-01-01","A DIVISION","3","1","Crew Availability","31"
"2024-01-01","A DIVISION","3","1","Police & Medical","452"
"2024-01-01","A DIVISION","3","1","Planned ROW Work","51"
"2024-01-01","A DIVISION","3","1","External Factors","33"
"2024-01-01","A DIVISION","3","1","Infrastructure & Equipment","472"
"2024-01-01","A DIVISION","3","2","Infrastructure & Equipment","191"
"2024-01-01","A DIVISION","3","2","Crew Availability","22"
"2024-01-01","A DIVISION","3","2","Police & Medical","81"
"2024-01-01","A DIVISION","3","2","Planned ROW Work","116"
"2024-01-01","A DIVISION","3","2","Operating Conditions","104"
"2024-01-01","A DIVISION","4","1","Crew Availability","55"
"2024-01-01","A DIVISION","4","1","Planned ROW Work","149"
"2024-01-01","A DIVISION","4","1","Infrastructure & Equipment","774"
"2024-01-01","A DIVISION","4","1","Operating Conditions","216"
"2024-01-01","A DIVISION","4","1","Police & Medical","571"
"2024-01-01","A DIVISION","4","1","External Factors","18"
"2024-01-01","A DIVISION","4","2","Crew Availability","24"
"2024-01-01","A DIVISION","4","2","Police & Medical","115"
"2024-01-01","A DIVISION","4","2","External Factors","6"
"2024-01-01","A DIVISION","4","2","Infrastructure & Equipment","118"
"2024-01-01","A DIVISION","4","2","Planned ROW Work","88"
"2024-01-01","A DIVISION","4","2","Operating Conditions","221"
"2024-01-01","A DIVISION","5","1","Infrastructure & Equipment","716"
"2024-01-01","A DIVISION","5","1","External Factors","18"
"2024-01-01","A DIVISION","5","1","Police & Medical","570"
"2024-01-01","A DIVISION","5","1","Planned ROW Work","114"
"2024-01-01","A DIVISION","5","1","Crew Availability","33"
"2024-01-01","A DIVISION","5","1","Operating Conditions","232"
"2024-01-01","A DIVISION","5","2","Planned ROW Work","26"
"2024-01-01","A DIVISION","5","2","Operating Conditions","51"
"2024-01-01","A DIVISION","5","2","External Factors","2"
"2024-01-01","A DIVISION","5","2","Infrastructure & Equipment","39"
"2024-01-01","A DIVISION","5","2","Police & Medical","33"
"2024-01-01","A DIVISION","5","2","Crew Availability","9"
"2024-01-01","A DIVISION","6","1","Planned ROW Work","266"
"2024-01-01","A DIVISION","6","1","Infrastructure & Equipment","841"
"2024-01-01","A DIVISION","6","1","External Factors","28"
"2024-01-01","A DIVISION","6","1","Police & Medical","989"
"2024-01-01","A DIVISION","6","1","Operating Conditions","696"
"2024-01-01","A DIVISION","6","1","Crew Availability","69"
"2024-01-01","A DIVISION","6","2","Operating Conditions","212"
"2024-01-01","A DIVISION","6","2","Crew Availability","28"
"2024-01-01","A DIVISION","6","2","Planned ROW Work","91"
"2024-01-01","A DIVISION","6","2","External Factors","21"
"2024-01-01","A DIVISION","6","2","Police & Medical","185"
"2024-01-01","A DIVISION","6","2","Infrastructure & Equipment","111"
"2024-01-01","A DIVISION","7","1","Police & Medical","422"
